Interaction Energy (eV) based on different positions during vertical rotation around z axis
C60 pentagone-down orientation
rotation Degree     point 1             point 2             point 3             point 4             point 5
  234.0000         -0.62105087         -0.61936875         -0.62669216         -0.62789188         -0.61512085 
  235.0000         -0.62122050         -0.61937103         -0.62671349         -0.62794991         -0.61513060 
  236.0000         -0.62148765         -0.61944339         -0.62673565         -0.62791025         -0.61508044 
  237.0000         -0.62170664         -0.61949609         -0.62674298         -0.62792088         -0.61504482 
  238.0000         -0.62189517         -0.61959880         -0.62670659         -0.62789663         -0.61503809 
  239.0000         -0.62211170         -0.61969595         -0.62668595         -0.62792658         -0.61506513 
  240.0000         -0.62231956         -0.61978577         -0.62672448         -0.62794647         -0.61510587 
  241.0000         -0.62243270         -0.61991285         -0.62669284         -0.62792570         -0.61506514 
  242.0000         -0.62259314         -0.62001660         -0.62662620         -0.62788024         -0.61503811 
  243.0000         -0.62277049         -0.62013118         -0.62660500         -0.62791428         -0.61504486 
  244.0000         -0.62292240         -0.62028024         -0.62657895         -0.62791366         -0.61508049 
  245.0000         -0.62307240         -0.62047178         -0.62658198         -0.62793852         -0.61513066 
  246.0000         -0.62321066         -0.62067957         -0.62655460         -0.62792521         -0.61512092 
  247.0000         -0.62333527         -0.62089743         -0.62657694         -0.62794755         -0.61511100 
  248.0000         -0.62344024         -0.62110420         -0.62655895         -0.62795140         -0.61508595 
  249.0000         -0.62354003         -0.62128853         -0.62655536         -0.62791115         -0.61501117 
  250.0000         -0.62355956         -0.62148844         -0.62656740         -0.62788085         -0.61498530 
  251.0000         -0.62356754         -0.62167723         -0.62648487         -0.62795967         -0.61503323 
  252.0000         -0.62356963         -0.62191196         -0.62645580         -0.62795377         -0.61505561 
  253.0000         -0.62354593         -0.62218159         -0.62650638         -0.62795667         -0.61500727 
  254.0000         -0.62350615         -0.62239390         -0.62651164         -0.62793920         -0.61494852 
  255.0000         -0.62345047         -0.62264216         -0.62651127         -0.62793106         -0.61496890 
  256.0000         -0.62336468         -0.62284118         -0.62647693         -0.62794235         -0.61498422 
  257.0000         -0.62322423         -0.62307764         -0.62652159         -0.62795883         -0.61503003 
  258.0000         -0.62309447         -0.62328062         -0.62650187         -0.62793166         -0.61501677 
  259.0000         -0.62291714         -0.62347805         -0.62647270         -0.62797885         -0.61501423 
  260.0000         -0.62272378         -0.62362838         -0.62644374         -0.62795775         -0.61498764 
  261.0000         -0.62255386         -0.62378513         -0.62645902         -0.62796664         -0.61492734 
  262.0000         -0.62236940         -0.62397743         -0.62644498         -0.62794977         -0.61491184 
  263.0000         -0.62218299         -0.62415403         -0.62651677         -0.62798156         -0.61492644 
  264.0000         -0.62205006         -0.62432313         -0.62651940         -0.62799275         -0.61497123 
  265.0000         -0.62183333         -0.62444466         -0.62648735         -0.62796797         -0.61492654 
  266.0000         -0.62158887         -0.62452725         -0.62648538         -0.62794245         -0.61492198 
