Interaction Energy (eV) based on different positions during vertical rotation around z axis
C60 hexagone-down orientation
rotation Degree     point 1             point 2             point 3             point 4             point 5
  255.0000         -0.64396796         -0.64502689         -0.64870862         -0.65017012         -0.63931927 
  256.0000         -0.64405328         -0.64505259         -0.64863621         -0.65000987         -0.63949256 
  257.0000         -0.64414325         -0.64503428         -0.64846517         -0.64992739         -0.63972156 
  258.0000         -0.64413314         -0.64504618         -0.64839022         -0.64980013         -0.63999918 
  259.0000         -0.64424027         -0.64507328         -0.64830912         -0.64970969         -0.64022290 
  260.0000         -0.64427455         -0.64509505         -0.64821195         -0.64953331         -0.64040073 
  261.0000         -0.64430991         -0.64509487         -0.64814415         -0.64946926         -0.64063920 
  262.0000         -0.64436136         -0.64517767         -0.64805157         -0.64944921         -0.64084104 
  263.0000         -0.64443250         -0.64515979         -0.64798004         -0.64944858         -0.64105879 
  264.0000         -0.64450265         -0.64513515         -0.64794524         -0.64941975         -0.64128132 
  265.0000         -0.64455673         -0.64512336         -0.64790730         -0.64941600         -0.64136686 
  266.0000         -0.64456471         -0.64513888         -0.64782227         -0.64941450         -0.64151193 
  267.0000         -0.64460481         -0.64512326         -0.64779563         -0.64938771         -0.64160683 
  268.0000         -0.64465224         -0.64511566         -0.64776818         -0.64936408         -0.64170477 
  269.0000         -0.64468272         -0.64510470         -0.64776874         -0.64938874         -0.64174664 
  270.0000         -0.64466591         -0.64514083         -0.64778861         -0.64939405         -0.64179094 
  271.0000         -0.64463636         -0.64510470         -0.64776874         -0.64938874         -0.64174664 
  272.0000         -0.64465318         -0.64511566         -0.64776818         -0.64936408         -0.64170477 
  273.0000         -0.64463237         -0.64512326         -0.64779563         -0.64938771         -0.64160683 
  274.0000         -0.64462298         -0.64513888         -0.64782227         -0.64941450         -0.64151193 
  275.0000         -0.64463072         -0.64512336         -0.64790730         -0.64941600         -0.64136686 
  276.0000         -0.64452758         -0.64513514         -0.64794525         -0.64941975         -0.64128132 
  277.0000         -0.64446784         -0.64515979         -0.64798004         -0.64944858         -0.64105879 
  278.0000         -0.64445710         -0.64517766         -0.64805157         -0.64944921         -0.64084104 
  279.0000         -0.64438721         -0.64509487         -0.64814415         -0.64946926         -0.64063920 
  280.0000         -0.64431771         -0.64509504         -0.64821195         -0.64953331         -0.64040073 
  281.0000         -0.64422912         -0.64507328         -0.64830913         -0.64970969         -0.64022290 
  282.0000         -0.64414206         -0.64504618         -0.64839022         -0.64980014         -0.63999918 
  283.0000         -0.64408685         -0.64503428         -0.64846517         -0.64992739         -0.63972156 
  284.0000         -0.64401442         -0.64505259         -0.64863621         -0.65000987         -0.63949256 
  285.0000         -0.64389167         -0.64502689         -0.64870863         -0.65017012         -0.63931927 
  286.0000         -0.64384381         -0.64505144         -0.64880516         -0.65013001         -0.63907305 
  287.0000         -0.64372244         -0.64500742         -0.64883174         -0.65017078         -0.63876978 
  288.0000         -0.64366295         -0.64497976         -0.64889656         -0.65027278         -0.63855229 
  289.0000         -0.64361083         -0.64491347         -0.64893835         -0.65031085         -0.63825263 
  290.0000         -0.64356072         -0.64488822         -0.64900570         -0.65042762         -0.63795909 
  291.0000         -0.64355383         -0.64483963         -0.64905398         -0.65037931         -0.63768374 
  292.0000         -0.64351615         -0.64486796         -0.64910185         -0.65045288         -0.63747894 
  293.0000         -0.64347423         -0.64485950         -0.64915393         -0.65051943         -0.63731862 
  294.0000         -0.64345330         -0.64482444         -0.64918472         -0.65046385         -0.63713014 
  295.0000         -0.64340410         -0.64477677         -0.64918746         -0.65053822         -0.63700405 
  296.0000         -0.64341598         -0.64477155         -0.64920218         -0.65061294         -0.63694693 
  297.0000         -0.64340896         -0.64475912         -0.64922818         -0.65063303         -0.63684617 
  298.0000         -0.64339903         -0.64479445         -0.64924567         -0.65054973         -0.63666848 
  299.0000         -0.64344643         -0.64481228         -0.64925903         -0.65048056         -0.63653344 
  300.0000         -0.64346110         -0.64483297         -0.64932281         -0.65044456         -0.63649505 
  301.0000         -0.64343844         -0.64484243         -0.64926784         -0.65049186         -0.63653344 
  302.0000         -0.64339314         -0.64479619         -0.64924862         -0.65054337         -0.63666848 
  303.0000         -0.64341011         -0.64482722         -0.64924014         -0.65057501         -0.63684617 
  304.0000         -0.64340933         -0.64488044         -0.64919830         -0.65045952         -0.63694693 
  305.0000         -0.64338960         -0.64495076         -0.64916772         -0.65030979         -0.63700405 
  306.0000         -0.64344101         -0.64497846         -0.64918390         -0.65018645         -0.63713014 
  307.0000         -0.64343458         -0.64500806         -0.64915731         -0.65009573         -0.63731862 
  308.0000         -0.64348396         -0.64501457         -0.64909944         -0.65005267         -0.63747894 
  309.0000         -0.64353434         -0.64505302         -0.64906052         -0.64993919         -0.63768374 
  310.0000         -0.64352926         -0.64510297         -0.64899632         -0.64991372         -0.63795909 
  311.0000         -0.64357259         -0.64512458         -0.64891325         -0.64978929         -0.63825263 
  312.0000         -0.64363801         -0.64516722         -0.64885567         -0.64966101         -0.63855229 
  313.0000         -0.64368614         -0.64523067         -0.64881983         -0.64950060         -0.63876977 
  314.0000         -0.64378654         -0.64528945         -0.64880243         -0.64939471         -0.63907305 
  315.0000         -0.64387316         -0.64529849         -0.64870024         -0.64922396         -0.63931927 
  316.0000         -0.64397538         -0.64533684         -0.64860749         -0.64904958         -0.63949256 
  317.0000         -0.64404744         -0.64536888         -0.64846071         -0.64886603         -0.63972156 
  318.0000         -0.64410254         -0.64536481         -0.64838023         -0.64870531         -0.63999918 
  319.0000         -0.64419979         -0.64541955         -0.64828358         -0.64857858         -0.64022290 
  320.0000         -0.64427911         -0.64550210         -0.64821079         -0.64844342         -0.64040073 
  321.0000         -0.64435458         -0.64550843         -0.64812768         -0.64837040         -0.64063920 
  322.0000         -0.64443575         -0.64556709         -0.64803965         -0.64826551         -0.64084104 
  323.0000         -0.64446315         -0.64559841         -0.64795281         -0.64821794         -0.64105879 
  324.0000         -0.64449526         -0.64559687         -0.64790780         -0.64819977         -0.64128132 
