    time (ps)       MSD(A2) @ 35K       MSD(A2) @ 50K       MSD(A2) @ 60K       MSD(A2) @ 75K       MSD(A2) @ 100K     MSD(A2) @ 150K        
  116.4000       3482.23640451       1412.55241677       1240.30497231        715.67893408        349.19109185        214.60030326 
  116.6000       3491.83917378       1415.31911675       1243.76736267        717.79358117        349.49905767        214.81906049 
  116.8000       3501.52326822       1418.05070554       1247.25232438        719.90154024        349.78470314        215.04735474 
  117.0000       3511.21438901       1420.70976707       1250.79128865        722.02406099        350.05954798        215.28959935 
  117.2000       3520.96401589       1423.36706838       1254.29604664        724.15594357        350.33203739        215.54164153 
  117.4000       3530.74288763       1425.96578396       1257.79179513        726.31678715        350.60333543        215.80198835 
  117.6000       3540.59400569       1428.52117632       1261.29713078        728.50107774        350.86958302        216.06961589 
  117.8000       3550.46998194       1431.04819192       1264.83521860        730.70296883        351.13430782        216.33563915 
  118.0000       3560.38877615       1433.58150666       1268.37251360        732.91372329        351.37862078        216.58891123 
  118.2000       3570.33841268       1436.14894807       1271.91597932        735.14328227        351.60628159        216.83201649 
  118.4000       3580.33801771       1438.76572268       1275.44265004        737.40619575        351.84533970        217.06091378 
  118.6000       3590.39212684       1441.37052523       1278.90385694        739.68209522        352.09878414        217.26858569 
  118.8000       3600.44207801       1444.01475022       1282.31666865        741.99305706        352.36666820        217.45964260 
  119.0000       3610.53338629       1446.68827841       1285.69305147        744.31773537        352.65490809        217.65056189 
  119.2000       3620.65301766       1449.40471433       1289.04600281        746.65549369        352.96002530        217.84790356 
  119.4000       3630.83666630       1452.16702389       1292.38214877        749.01046869        353.28175051        218.05311995 
  119.6000       3641.05274243       1454.96867078       1295.72404609        751.39743772        353.63375292        218.26098968 
  119.8000       3651.29579863       1457.77084613       1299.00378154        753.80230059        354.00558859        218.46657584 
  120.0000       3661.61057890       1460.60876709       1302.24822916        756.23314500        354.41051508        218.67484069 
  120.2000       3671.95148418       1463.49529672       1305.43675882        758.66732052        354.83711085        218.87862037 
  120.4000       3682.27348427       1466.45203322       1308.55802211        761.09659119        355.27771595        219.08302893 
  120.6000       3692.61185443       1469.46393717       1311.66021579        763.52484729        355.73173022        219.28532801 
  120.8000       3702.86701116       1472.52189022       1314.75330408        765.93602560        356.19766036        219.48124683 
  121.0000       3713.12985469       1475.62104110       1317.83378928        768.29541500        356.65755355        219.65943977 
  121.2000       3723.37771379       1478.69738352       1320.89838017        770.58183006        357.10814952        219.82141311 
  121.4000       3733.61297427       1481.76181621       1323.98303203        772.84705719        357.53013180        219.97691369 
  121.6000       3743.79403451       1484.85604275       1327.10021938        775.06802688        357.94008256        220.11693154 
  121.8000       3753.92996141       1487.92717301       1330.26365461        777.29335863        358.32889818        220.24079047 
  122.0000       3764.06627955       1491.00720601       1333.44932280        779.51977669        358.69852257        220.35389484 
  122.2000       3774.23115464       1494.08724923       1336.65296265        781.76318979        359.05306542        220.45368300 
  122.4000       3784.38243028       1497.13007538       1339.89818489        784.05370318        359.39853314        220.54335091 
  122.6000       3794.54751848       1500.20199776       1343.18291929        786.34322569        359.71905712        220.61761512 
  122.8000       3804.79527320       1503.26183964       1346.51433044        788.64547294        360.00622691        220.68087151 
  123.0000       3815.05799342       1506.29308155       1349.86647574        790.95691718        360.24152980        220.73591805 
  123.2000       3825.34579343       1509.34047815       1353.24659912        793.27072482        360.45326851        220.78019816 
  123.4000       3835.62328230       1512.39695700       1356.65948238        795.58233991        360.64598584        220.80996231 
  123.6000       3845.85668957       1515.46458634       1360.03044219        797.87779062        360.81359503        220.83194145 
  123.8000       3856.13182659       1518.56141147       1363.39397096        800.16315083        360.95721627        220.85369262 
  124.0000       3866.39774068       1521.65106524       1366.74106007        802.43982633        361.08892870        220.86900404 
  124.2000       3876.67287687       1524.72594995       1370.08720310        804.69859298        361.20581432        220.88398053 
  124.4000       3886.94460521       1527.79512639       1373.41524677        806.94686362        361.31678378        220.89992942 
  124.6000       3897.18071394       1530.89224707       1376.72273578        809.16857807        361.41272895        220.92003352 
  124.8000       3907.47260109       1534.06708047       1380.05172282        811.36998317        361.50597459        220.93265936 
  125.0000       3917.78048573       1537.25266059       1383.38158632        813.57088260        361.61577205        220.93839746 
  125.2000       3928.22881236       1540.42847536       1386.72570071        815.71154466        361.74628356        220.94184508 
  125.4000       3938.83977110       1543.66828287       1390.05874602        817.82752572        361.91732316        220.95232769 
  125.6000       3949.56463863       1546.93658519       1393.34147577        819.91464220        362.10952769        220.97450534 
  125.8000       3960.37625868       1550.23728709       1396.61828176        821.98931300        362.32699331        221.00499339 
  126.0000       3971.14659912       1553.59529163       1399.88855631        824.06377363        362.57484585        221.04942638 
  126.2000       3981.83256882       1556.97042647       1403.12966994        826.15875984        362.85438675        221.10286194 
  126.4000       3992.41721888       1560.40195691       1406.34213882        828.27800956        363.17328864        221.16744730 
  126.6000       4003.02829311       1563.90088185       1409.51286207        830.41955572        363.51703978        221.23364322 
  126.8000       4013.67437949       1567.46849791       1412.67197034        832.56548049        363.87315124        221.30736546 
  127.0000       4024.42604402       1571.11056298       1415.81648449        834.73684898        364.25207784        221.38566948 
  127.2000       4035.17738495       1574.83251330       1418.95241453        836.90770990        364.63496333        221.46878488 
  127.4000       4045.93118814       1578.65576433       1422.08300888        839.06477884        365.02250817        221.55881219 
  127.6000       4056.76730701       1582.54109510       1425.19747225        841.19828359        365.41136498        221.65504979 
  127.8000       4067.51707632       1586.48956131       1428.35770862        843.31585333        365.79516048        221.75910612 
  128.0000       4078.36927745       1590.47695959       1431.53430202        845.42547816        366.17870345        221.86661071 
  128.2000       4089.23794259       1594.51707288       1434.69875861        847.54169679        366.56499103        221.98654310 
  128.4000       4100.01621136       1598.59075966       1437.88905697        849.66025464        366.95017188        222.11418189 
  128.6000       4110.75613664       1602.72813592       1441.07532668        851.78023216        367.33177800        222.24193004 
  128.8000       4121.47628989       1606.85040917       1444.27851779        853.87849147        367.71046190        222.37419568 
  129.0000       4132.18794947       1611.02873031       1447.48034391        855.99112734        368.09165227        222.50134677 
  129.2000       4142.84369942       1615.19160122       1450.70944058        858.12631064        368.47064911        222.62576816 
  129.4000       4153.34017955       1619.33530884       1453.93947102        860.27995778        368.86294462        222.74077752 
  129.6000       4163.84449484       1623.46020122       1457.19031462        862.45781096        369.26146913        222.84056374 
  129.8000       4174.31239540       1627.61310870       1460.47730477        864.65815677        369.66627480        222.93728094 
  130.0000       4184.76930336       1631.80697132       1463.74415003        866.88229959        370.06272025        223.01758639 
  130.2000       4195.21141213       1636.05371228       1467.00364710        869.14097505        370.45858862        223.08463870 
  130.4000       4205.68949856       1640.36056793       1470.26463511        871.42489877        370.85845291        223.13835613 
  130.6000       4216.23500945       1644.73674636       1473.54891205        873.73009108        371.26606343        223.18216461 
  130.8000       4226.80947111       1649.15058214       1476.83942224        876.01776513        371.68129437        223.22337192 
  131.0000       4237.48525570       1653.52800494       1480.14744690        878.26465185        372.10862264        223.27026311 
  131.2000       4248.29329039       1657.90203837       1483.42983469        880.45681863        372.52783684        223.31560750 
  131.4000       4259.24544363       1662.23734521       1486.68904772        882.59813430        372.94984198        223.36925099 
  131.6000       4270.35800634       1666.57234438       1489.96512969        884.72331703        373.37796090        223.43384257 
  131.8000       4281.62326699       1670.93364846       1493.28334560        886.83377831        373.81220485        223.51659101 
  132.0000       4292.99949619       1675.31096983       1496.63240604        888.96967568        374.26803475        223.61893765 
  132.2000       4304.44004975       1679.72249100       1499.96804855        891.16681742        374.73502067        223.72503554 
  132.4000       4315.86296889       1684.19107506       1503.31246371        893.39018747        375.19846893        223.85663648 
  132.6000       4327.34004434       1688.72369968       1506.69265683        895.65941556        375.65553107        224.00661026 
  132.8000       4338.83700571       1693.26178424       1510.03528399        897.96894964        376.09120435        224.17674138 
  133.0000       4350.22754610       1697.83606880       1513.34471061        900.30644208        376.52489475        224.37811317 
  133.2000       4361.55092892       1702.40978459       1516.63911567        902.66354368        376.96066519        224.60215022 
