   log t (ps)      log MSD(A2)@ 5 K     log MSD(A2)@ 10 K   log MSD(A2)@ 20 K   log MSD(A2)@ 30 K   log MSD(A2)@ 60 K   log MSD(A2)@ 100 K  log MSD(A2)@ 300 K  log MSD(A2)@ 500 K    
    1.5315          3.15606182          2.88583171          2.33390124          2.04244888          1.54332058          1.17213222          0.66365020          0.20168129 
    1.5340          3.16069184          2.89080383          2.33799158          2.04660364          1.54701474          1.17555215          0.66499423          0.20297465 
    1.5366          3.16530877          2.89579424          2.34204357          2.05075895          1.55068313          1.17891016          0.66639805          0.20417736 
    1.5391          3.16987261          2.90076699          2.34604514          2.05486817          1.55434866          1.18223554          0.66785133          0.20533612 
    1.5416          3.17437487          2.90570133          2.35000841          2.05889629          1.55801580          1.18557433          0.66939244          0.20642427 
    1.5441          3.17882911          2.91059800          2.35393226          2.06285109          1.56169392          1.18888772          0.67100390          0.20729490 
    1.5465          3.18325790          2.91546825          2.35782169          2.06673454          1.56547561          1.19219628          0.67265744          0.20808131 
    1.5490          3.18771337          2.92030350          2.36166880          2.07055351          1.56930560          1.19553824          0.67442683          0.20877450 
    1.5514          3.19216343          2.92509992          2.36548416          2.07430971          1.57318535          1.19891141          0.67629389          0.20944050 
    1.5539          3.19659743          2.92991142          2.36925892          2.07800089          1.57708687          1.20226238          0.67824262          0.20989601 
    1.5563          3.20101943          2.93467792          2.37298464          2.08164981          1.58098212          1.20553887          0.68017760          0.21004515 
    1.5587          3.20542557          2.93940021          2.37666114          2.08528632          1.58489823          1.20882229          0.68218687          0.21009744 
    1.5611          3.20982529          2.94412236          2.38031024          2.08892987          1.58884566          1.21212302          0.68433706          0.21005269 
    1.5635          3.21419405          2.94881149          2.38392558          2.09257329          1.59277917          1.21542934          0.68658750          0.20979605 
    1.5658          3.21850213          2.95345557          2.38747563          2.09622556          1.59668789          1.21871377          0.68894817          0.20946147 
    1.5682          3.22277346          2.95804813          2.39095220          2.09984639          1.60050853          1.22204417          0.69138594          0.20907509 
    1.5705          3.22700554          2.96260708          2.39440697          2.10345927          1.60424894          1.22532881          0.69398029          0.20857806 
    1.5729          3.23126249          2.96714106          2.39783136          2.10707000          1.60791328          1.22854740          0.69660027          0.20804499 
    1.5752          3.23549865          2.97165343          2.40119195          2.11064491          1.61147005          1.23172087          0.69927943          0.20750407 
    1.5775          3.23972407          2.97614899          2.40452107          2.11414143          1.61490244          1.23483363          0.70197921          0.20694703 
    1.5798          3.24393820          2.98062362          2.40779818          2.11758948          1.61825290          1.23789418          0.70473994          0.20627924 
    1.5821          3.24813198          2.98509732          2.41103825          2.12096616          1.62153297          1.24093611          0.70755789          0.20564218 
    1.5843          3.25229208          2.98955541          2.41422004          2.12426212          1.62476984          1.24393971          0.71051505          0.20488855 
    1.5866          3.25646000          2.99403222          2.41735557          2.12748517          1.62794196          1.24690940          0.71359207          0.20401128 
    1.5888          3.26067201          2.99853880          2.42049836          2.13065169          1.63106319          1.24983690          0.71692330          0.20310115 
    1.5911          3.26483703          3.00305867          2.42363377          2.13379151          1.63420620          1.25273067          0.72045046          0.20210262 
    1.5933          3.26897245          3.00755981          2.42677522          2.13689112          1.63736432          1.25563410          0.72407574          0.20107487 
    1.5955          3.27309473          3.01203665          2.42991158          2.13994944          1.64053445          1.25857898          0.72787811          0.20002864 
    1.5977          3.27719828          3.01644803          2.43306685          2.14297789          1.64375863          1.26156635          0.73180300          0.19903390 
    1.5999          3.28131169          3.02083463          2.43621444          2.14597723          1.64700757          1.26456579          0.73580904          0.19807134 
    1.6021          3.28543027          3.02521727          2.43937766          2.14898955          1.65034690          1.26757628          0.73992721          0.19718617 
    1.6042          3.28954897          3.02959304          2.44259070          2.15197610          1.65374802          1.27058660          0.74409418          0.19640662 
    1.6064          3.29366007          3.03394939          2.44585807          2.15493133          1.65720718          1.27356720          0.74827403          0.19563740 
    1.6085          3.29772814          3.03829531          2.44916177          2.15786521          1.66074817          1.27655070          0.75244859          0.19489633 
    1.6107          3.30178208          3.04261335          2.45250784          2.16076686          1.66430206          1.27952309          0.75660772          0.19431663 
    1.6128          3.30580593          3.04688471          2.45586710          2.16364974          1.66786428          1.28248225          0.76076326          0.19375066 
    1.6149          3.30980062          3.05112574          2.45925452          2.16650909          1.67150206          1.28532648          0.76489648          0.19308222 
    1.6170          3.31378748          3.05536609          2.46265252          2.16934118          1.67516312          1.28812756          0.76895598          0.19238542 
    1.6191          3.31779064          3.05961198          2.46603014          2.17214313          1.67883593          1.29089079          0.77301638          0.19160069 
    1.6212          3.32178288          3.06383479          2.46940498          2.17489574          1.68249561          1.29363174          0.77709121          0.19079040 
    1.6232          3.32574865          3.06802391          2.47274506          2.17761323          1.68611378          1.29639237          0.78118231          0.18992829 
    1.6253          3.32966168          3.07219684          2.47608584          2.18030497          1.68971383          1.29920208          0.78522754          0.18887744 
    1.6274          3.33352656          3.07634142          2.47939781          2.18297926          1.69329444          1.30204044          0.78923685          0.18770712 
    1.6294          3.33737016          3.08045971          2.48270455          2.18567261          1.69682575          1.30491399          0.79327104          0.18639663 
    1.6314          3.34118919          3.08457640          2.48600362          2.18837958          1.70032957          1.30780787          0.79731872          0.18502119 
    1.6335          3.34496879          3.08867091          2.48928715          2.19110402          1.70378918          1.31071691          0.80135606          0.18366684 
    1.6355          3.34870013          3.09273706          2.49254948          2.19383520          1.70722447          1.31365810          0.80529848          0.18237172 
    1.6375          3.35241929          3.09676352          2.49579294          2.19657536          1.71056670          1.31663235          0.80900684          0.18119134 
    1.6395          3.35613247          3.10075262          2.49902389          2.19933673          1.71382539          1.31964834          0.81245394          0.18020918 
    1.6415          3.35981281          3.10472994          2.50224116          2.20212318          1.71702226          1.32263082          0.81565751          0.17947266 
    1.6435          3.36347530          3.10867910          2.50547695          2.20491819          1.72017271          1.32552306          0.81858534          0.17899876 
    1.6454          3.36711343          3.11260606          2.50872789          2.20775597          1.72328669          1.32833009          0.82122327          0.17872587 
    1.6474          3.37073356          3.11648379          2.51197287          2.21063174          1.72639253          1.33104524          0.82355617          0.17873624 
    1.6493          3.37433090          3.12033941          2.51518751          2.21352160          1.72946251          1.33370199          0.82559105          0.17904826 
    1.6513          3.37789542          3.12416633          2.51839195          2.21643720          1.73252996          1.33626604          0.82733884          0.17973123 
    1.6532          3.38143227          3.12800501          2.52158827          2.21934025          1.73563933          1.33874567          0.82889419          0.18073314 
    1.6551          3.38494878          3.13182030          2.52477808          2.22218774          1.73881155          1.34120873          0.83024145          0.18191403 
    1.6571          3.38843858          3.13560676          2.52795313          2.22499876          1.74204619          1.34363627          0.83136191          0.18338961 
    1.6590          3.39189934          3.13935284          2.53110647          2.22781709          1.74529694          1.34601917          0.83234342          0.18507437 
    1.6609          3.39536037          3.14307930          2.53422875          2.23066567          1.74854066          1.34833025          0.83319429          0.18694117 
    1.6628          3.39879438          3.14681145          2.53732785          2.23355956          1.75185224          1.35059729          0.83398655          0.18895410 
    1.6646          3.40221012          3.15053168          2.54038557          2.23650901          1.75522893          1.35286557          0.83471651          0.19101669 
    1.6665          3.40562954          3.15422278          2.54341856          2.23952169          1.75862727          1.35512420          0.83548084          0.19299790 
    1.6684          3.40903288          3.15788096          2.54642694          2.24258058          1.76207773          1.35736316          0.83632124          0.19495278 
    1.6702          3.41241417          3.16149729          2.54941864          2.24568608          1.76554902          1.35962072          0.83726031          0.19696341 
    1.6721          3.41579921          3.16508067          2.55236865          2.24880997          1.76905813          1.36187188          0.83832244          0.19896020 
    1.6739          3.41917598          3.16863467          2.55529576          2.25197738          1.77256870          1.36410410          0.83951231          0.20092053 
    1.6758          3.42253197          3.17216161          2.55823846          2.25516578          1.77603737          1.36632550          0.84075042          0.20293863 
    1.6776          3.42583431          3.17568350          2.56119222          2.25836255          1.77949656          1.36855543          0.84208435          0.20495795 
    1.6794          3.42914177          3.17920688          2.56413805          2.26156432          1.78295377          1.37075413          0.84348839          0.20702775 
