    time (ps)       MSD(A2) @ 1K        MSD(A2) @ 5K        MSD(A2) @ 10K        MSD(A2) @ 20K        MSD(A2) @ 30K        MSD(A2) @ 35K        
   48.6000         70.37890772         62.58461749         23.94311411          7.07803372          1.64189026          0.02889798 
   48.8000         70.66169089         63.05077051         24.05211598          7.10675280          1.65098061          0.02710183 
   49.0000         70.94500090         63.51094683         24.15785138          7.13586421          1.66097179          0.02530387 
   49.2000         71.23552096         63.96579294         24.26145812          7.16553076          1.67130851          0.02352868 
   49.4000         71.52858184         64.41022182         24.36289298          7.19510791          1.68180857          0.02179149 
   49.6000         71.82702008         64.84220221         24.46509917          7.22411742          1.69271881          0.02013342 
   49.8000         72.12181150         65.26355712         24.56353415          7.25372235          1.70418116          0.01857885 
   50.0000         72.41413987         65.67507332         24.66181972          7.28343445          1.71621110          0.01713860 
   50.2000         72.70219342         66.08541874         24.76137762          7.31268120          1.72886009          0.01583687 
   50.4000         72.98907124         66.49532865         24.85994999          7.34214011          1.74184710          0.01468317 
   50.6000         73.27534222         66.90265150         24.95606543          7.37113346          1.75508259          0.01370441 
   50.8000         73.56015684         67.31270743         25.04806895          7.39970896          1.76850488          0.01292146 
   51.0000         73.84127578         67.72417862         25.13805500          7.42800736          1.78205931          0.01233532 
   51.2000         74.11549389         68.14265232         25.22584661          7.45669664          1.79557109          0.01194887 
   51.4000         74.38721019         68.56191078         25.30654737          7.48425494          1.80928273          0.01177263 
   51.6000         74.65471269         68.98252318         25.38524423          7.51060014          1.82289497          0.01179971 
   51.8000         74.92164869         69.40577860         25.45873865          7.53605785          1.83629723          0.01203348 
   52.0000         75.19335863         69.82249163         25.52831885          7.56057170          1.84938574          0.01246121 
   52.2000         75.46885682         70.23354322         25.59205012          7.58441098          1.86218558          0.01306662 
   52.4000         75.74910552         70.64275856         25.65234018          7.60657379          1.87438000          0.01384172 
   52.6000         76.03661628         71.04392755         25.71044586          7.62734315          1.88627365          0.01477497 
   52.8000         76.32968845         71.43974907         25.76532764          7.64670946          1.89825740          0.01585793 
   53.0000         76.62259195         71.83024148         25.81821652          7.66523184          1.91014254          0.01706146 
   53.2000         76.91770691         72.21320256         25.87022457          7.68215630          1.92116748          0.01833259 
   53.4000         77.21882485         72.58469953         25.91936368          7.69748966          1.93186576          0.01967262 
   53.6000         77.52301566         72.94407244         25.96837865          7.71049157          1.94227528          0.02108263 
   53.8000         77.83049813         73.28948990         26.01660934          7.72153953          1.95262579          0.02253995 
   54.0000         78.13493172         73.61764584         26.06516102          7.73058196          1.96273250          0.02403137 
   54.2000         78.43832439         73.92560966         26.11611453          7.73719369          1.97293549          0.02553206 
   54.4000         78.73735908         74.21514951         26.16910525          7.74046114          1.98312330          0.02704209 
   54.6000         79.02893972         74.48536150         26.22405171          7.74094909          1.99315524          0.02855439 
   54.8000         79.31857498         74.73885128         26.27843803          7.73869051          2.00338395          0.03006035 
   55.0000         79.60719562         74.97906036         26.33244851          7.73443451          2.01394570          0.03157761 
   55.2000         79.89886408         75.20658268         26.38845103          7.72855320          2.02490144          0.03310846 
   55.4000         80.19783475         75.42441766         26.44641665          7.71989594          2.03596274          0.03467321 
   55.6000         80.50201266         75.62959333         26.50392538          7.70912592          2.04757508          0.03626487 
   55.8000         80.80703843         75.82251050         26.56292362          7.69628625          2.05977891          0.03787853 
   56.0000         81.11538080         76.00372351         26.62470831          7.68118155          2.07275250          0.03950617 
   56.2000         81.43264196         76.17329703         26.69347429          7.66434562          2.08621251          0.04113844 
   56.4000         81.76298619         76.33192067         26.76610761          7.64624644          2.10001048          0.04278502 
   56.6000         82.10561501         76.48695674         26.84293304          7.62643446          2.11433499          0.04444986 
   56.8000         82.46291688         76.63346296         26.92804959          7.60519699          2.12901726          0.04607709 
   57.0000         82.82732965         76.77802828         27.02175968          7.58373801          2.14423423          0.04763660 
   57.2000         83.19352654         76.92135178         27.12351699          7.56186703          2.15949114          0.04913147 
   57.4000         83.56426672         77.06582483         27.23092755          7.53921348          2.17478872          0.05056114 
   57.6000         83.93788725         77.21837705         27.34299280          7.51573152          2.19061721          0.05191397 
   57.8000         84.31416299         77.37206024         27.46097248          7.49182232          2.20686213          0.05318906 
   58.0000         84.69530065         77.52598615         27.58107080          7.46831322          2.22370031          0.05435443 
   58.2000         85.07367507         77.67935686         27.70456601          7.44472430          2.24088717          0.05539219 
   58.4000         85.45096537         77.82815263         27.82849234          7.42070545          2.25831985          0.05630529 
   58.6000         85.82617642         77.97970018         27.95065645          7.39786988          2.27606005          0.05712721 
   58.8000         86.19779578         78.14343786         28.06968633          7.37572997          2.29404923          0.05784449 
   59.0000         86.57132142         78.31507445         28.18586070          7.35378427          2.31208343          0.05844483 
   59.2000         86.93918153         78.49413498         28.29772034          7.33220057          2.33040464          0.05894378 
   59.4000         87.30311949         78.67756465         28.40585078          7.31108985          2.34879364          0.05933245 
   59.6000         87.66682180         78.86679753         28.51174513          7.28995781          2.36740628          0.05959098 
   59.8000         88.03050787         79.06337546         28.61561452          7.26926870          2.38538552          0.05972326 
   60.0000         88.39687138         79.26446937         28.71779520          7.24992067          2.40338216          0.05973003 
   60.2000         88.76187064         79.46780488         28.82218940          7.23194023          2.42090780          0.05960105 
   60.4000         89.12441921         79.67718706         28.92693944          7.21568491          2.43809808          0.05933209 
   60.6000         89.49268551         79.88506665         29.03512807          7.20165935          2.45526273          0.05893957 
   60.8000         89.87140307         80.09299373         29.14771653          7.19000958          2.47231169          0.05844755 
   61.0000         90.25968332         80.30453811         29.26228557          7.18082701          2.48884690          0.05783361 
   61.2000         90.65746795         80.52306865         29.38231234          7.17416933          2.50471116          0.05708842 
   61.4000         91.06077878         80.74271446         29.50743437          7.16951437          2.51977220          0.05625757 
   61.6000         91.47460858         80.96955499         29.63796857          7.16704119          2.53375461          0.05530589 
   61.8000         91.89517206         81.20462412         29.76913950          7.16723141          2.54682515          0.05426280 
   62.0000         92.32324638         81.44412398         29.90291305          7.17023845          2.55815857          0.05316544 
   62.2000         92.76104750         81.69515941         30.03901876          7.17675318          2.56812842          0.05198758 
   62.4000         93.20374165         81.95165889         30.17220639          7.18622005          2.57679380          0.05073110 
   62.6000         93.65609916         82.21378227         30.30723063          7.19885905          2.58444388          0.04939809 
   62.8000         94.11306205         82.48668597         30.44153893          7.21516943          2.59093537          0.04802189 
   63.0000         94.57388535         82.76350200         30.57552932          7.23501761          2.59642235          0.04659422 
