    time (ps)       MSD(A2) @ 150K      MSD(A2) @ 200K      MSD(A2) @ 250K      MSD(A2) @ 300K      MSD(A2) @ 400K      MSD(A2) @ 500K        
   57.4000       3770.01023293       3053.67694681       2150.90033321       1763.90044091       1311.65562885       1039.21141788 
   57.6000       3793.80270762       3074.83466811       2164.87144695       1775.35670137       1320.14958631       1045.73523842 
   57.8000       3817.59024266       3096.10789503       2178.78858559       1786.84598287       1328.63272546       1052.26841112 
   58.0000       3841.41722487       3117.51929507       2192.68393150       1798.30252034       1337.16990556       1058.82785061 
   58.2000       3865.39092853       3139.11841817       2206.60620871       1809.73756866       1345.76300361       1065.38193825 
   58.4000       3889.33133348       3160.83991027       2220.61224501       1821.22327330       1354.42053849       1071.97455308 
   58.6000       3913.29168817       3182.66156260       2234.71443882       1832.79382407       1363.11781123       1078.56858176 
   58.8000       3937.30257287       3204.50779400       2248.76626623       1844.46068861       1371.82993017       1085.21362660 
   59.0000       3961.24526078       3226.35665342       2262.86461743       1856.24146254       1380.59649806       1091.84818548 
   59.2000       3985.43393091       3248.30749578       2277.18142053       1868.05916337       1389.36929046       1098.49074877 
   59.4000       4009.91507892       3270.36007229       2291.58624070       1879.80840983       1398.01523264       1105.16614790 
   59.6000       4034.50289682       3292.48307623       2305.95905388       1891.49720169       1406.63170674       1111.84353626 
   59.8000       4059.04954127       3314.61530344       2320.40841521       1903.21436797       1415.29196131       1118.47100628 
   60.0000       4083.61909301       3336.77368745       2334.86981328       1915.00054694       1424.03854401       1125.07493842 
   60.2000       4108.17726053       3358.98534365       2349.32339902       1926.89610155       1432.91632034       1131.62151389 
   60.4000       4132.80494572       3381.30692635       2363.76025262       1938.81062994       1441.80557795       1138.15827959 
