#Graphite3layer & C60 12*12 Data file for LAMMPS

		11428  atoms

		3  atom types

		
		-60.1741		60.1739 	xlo xhi
		-61.4477		61.9203 	ylo yhi
		-60 			60	 	zlo zhi

Masses

		1     12.011   # Grapgite	(Nose_Hoover)
		2     12.011   # Graphene	(Nose_Hoover)		
		3     12.011   # C60		(Nose_Hoover)

Atoms

 383 1 53.4189 -55.0657 -3.35001
 384 1 54.6469 -54.3567 -3.35001
 385 1 57.1029 -57.1927 -3.35001
 386 1 55.8749 -56.4837 -3.35001
 387 1 55.8749 -55.0657 -3.35001
 388 1 57.1029 -54.3567 -3.35001
 389 1 59.5589 -57.1927 -3.35001
 390 1 58.3309 -56.4837 -3.35001
 391 1 58.3309 -55.0657 -3.35001
 392 1 59.5589 -54.3567 -3.35001
 393 1 -58.3311 -52.9387 -3.35001
 394 1 -59.5591 -52.2297 -3.35001
 395 1 -59.5591 -50.8117 -3.35001
 396 1 -58.3311 -50.1027 -3.35001
 397 1 -55.8751 -52.9387 -3.35001
 398 1 -57.1031 -52.2297 -3.35001
 399 1 -57.1031 -50.8117 -3.35001
 400 1 -55.8751 -50.1027 -3.35001
 401 1 -53.419 -52.9387 -3.35001
 402 1 -54.647 -52.2297 -3.35001
 403 1 -54.647 -50.8117 -3.35001
 404 1 -53.419 -50.1027 -3.35001
 405 1 -50.963 -52.9387 -3.35001
 406 1 -52.191 -52.2297 -3.35001
 407 1 -52.191 -50.8117 -3.35001
 408 1 -50.963 -50.1027 -3.35001
 409 1 -48.5069 -52.9387 -3.35001
 410 1 -49.7349 -52.2297 -3.35001
 411 1 -49.7349 -50.8117 -3.35001
 412 1 -48.5069 -50.1027 -3.35001
 413 1 -46.0509 -52.9387 -3.35001
 414 1 -47.2789 -52.2297 -3.35001
 415 1 -47.2789 -50.8117 -3.35001
 416 1 -46.0509 -50.1027 -3.35001
 417 1 -43.5948 -52.9387 -3.35001
 418 1 -44.8228 -52.2297 -3.35001
 419 1 -44.8228 -50.8117 -3.35001
 420 1 -43.5948 -50.1027 -3.35001
 421 1 -41.1388 -52.9387 -3.35001
 422 1 -42.3668 -52.2297 -3.35001
 423 1 -42.3668 -50.8117 -3.35001
 424 1 -41.1388 -50.1027 -3.35001
 425 1 -38.6827 -52.9387 -3.35001
 426 1 -39.9107 -52.2297 -3.35001
 427 1 -39.9107 -50.8117 -3.35001
 428 1 -38.6827 -50.1027 -3.35001
 429 1 -36.2267 -52.9387 -3.35001
 430 1 -37.4547 -52.2297 -3.35001
 431 1 -37.4547 -50.8117 -3.35001
 432 1 -36.2267 -50.1027 -3.35001
 433 1 -33.7706 -52.9387 -3.35001
 434 1 -34.9986 -52.2297 -3.35001
 435 1 -34.9986 -50.8117 -3.35001
 436 1 -33.7706 -50.1027 -3.35001
 437 1 -31.3146 -52.9387 -3.35001
 438 1 -32.5426 -52.2297 -3.35001
 439 1 -32.5426 -50.8117 -3.35001
 440 1 -31.3146 -50.1027 -3.35001
 441 1 -28.8585 -52.9387 -3.35001
 442 1 -30.0865 -52.2297 -3.35001
 443 1 -30.0865 -50.8117 -3.35001
 444 1 -28.8585 -50.1027 -3.35001
 445 1 -26.4025 -52.9387 -3.35001
 446 1 -27.6305 -52.2297 -3.35001
 447 1 -27.6305 -50.8117 -3.35001
 448 1 -26.4025 -50.1027 -3.35001
 449 1 -23.9464 -52.9387 -3.35001
 450 1 -25.1745 -52.2297 -3.35001
 451 1 -25.1745 -50.8117 -3.35001
 452 1 -23.9464 -50.1027 -3.35001
 453 1 -21.4904 -52.9387 -3.35001
 454 1 -22.7184 -52.2297 -3.35001
 455 1 -22.7184 -50.8117 -3.35001
 456 1 -21.4904 -50.1027 -3.35001
 457 1 -19.0343 -52.9387 -3.35001
 458 1 -20.2624 -52.2297 -3.35001
 459 1 -20.2624 -50.8117 -3.35001
 460 1 -19.0343 -50.1027 -3.35001
 461 1 -16.5783 -52.9387 -3.35001
 462 1 -17.8063 -52.2297 -3.35001
 463 1 -17.8063 -50.8117 -3.35001
 464 1 -16.5783 -50.1027 -3.35001
 465 1 -14.1222 -52.9387 -3.35001
 466 1 -15.3503 -52.2297 -3.35001
 467 1 -15.3503 -50.8117 -3.35001
 468 1 -14.1222 -50.1027 -3.35001
 469 1 -11.6662 -52.9387 -3.35001
 470 1 -12.8942 -52.2297 -3.35001
 471 1 -12.8942 -50.8117 -3.35001
 472 1 -11.6662 -50.1027 -3.35001
 473 1 -9.21011 -52.9387 -3.35001
 474 1 -10.4382 -52.2297 -3.35001
 475 1 -10.4382 -50.8117 -3.35001
 476 1 -9.21011 -50.1027 -3.35001
 477 1 -6.75411 -52.9387 -3.35001
 478 1 -7.98211 -52.2297 -3.35001
 479 1 -7.98211 -50.8117 -3.35001
 480 1 -6.75411 -50.1027 -3.35001
 481 1 -4.29801 -52.9387 -3.35001
 482 1 -5.52611 -52.2297 -3.35001
 483 1 -5.52611 -50.8117 -3.35001
 484 1 -4.29801 -50.1027 -3.35001
 485 1 -1.84201 -52.9387 -3.35001
 486 1 -3.07001 -52.2297 -3.35001
 487 1 -3.07001 -50.8117 -3.35001
 488 1 -1.84201 -50.1027 -3.35001
 489 1 0.614093 -52.9387 -3.35001
 490 1 -0.61401 -52.2297 -3.35001
 491 1 -0.61401 -50.8117 -3.35001
 492 1 0.614093 -50.1027 -3.35001
 493 1 3.07009 -52.9387 -3.35001
 494 1 1.84209 -52.2297 -3.35001
 495 1 1.84209 -50.8117 -3.35001
 496 1 3.07009 -50.1027 -3.35001
 497 1 5.52619 -52.9387 -3.35001
